,x,y,z,qx,qy,qz,qw,type,map
0,-5.4417932495,18.7191859637,0.4830190724,0.0143097719,0.0020694937,0.0074816927,0.9998674772,1,0
1,-4.3967904805,18.8501733669,0.5084626898,0.0153867615,-0.0030802977,0.0595485788,0.998102062,1,0
2,-3.3900156426,18.9172505106,0.5005900564,0.0151666635,0.0014818366,0.0127103522,0.9998030923,4,0
3,-2.3269467278,18.9831306901,0.481342977,0.0168762052,0.0006133951,-0.0022473757,0.9998548728,1,0
4,-1.285520088,19.0409767348,0.4703223925,0.0150714126,0.0033146863,0.0250020105,0.9995682892,1,0
5,-0.1847537685,19.1204322308,0.4481992021,0.0150249646,0.0023954085,0.0040126629,0.9998761978,1,0
6,0.8658722552,19.1178124128,0.4273222663,0.0137051074,0.0042018093,-0.0373612531,0.999199005,1,0
7,1.8892911623,19.1147836332,0.4020412532,0.012704892,0.0046596335,-0.0098334957,0.9998600782,1,0
8,2.9269043374,19.1197004109,0.3842995963,0.0130908984,0.0034205818,0.0174055612,0.9997569577,1,0
9,3.9669248163,19.1648084904,0.3567715641,0.0168498235,0.0045089594,0.0516756676,0.9985115814,1,0
10,5.0514853133,19.2414567081,0.3407861123,0.0149454031,0.0046293194,-0.0174398734,0.9997254899,1,0
11,6.0605518107,19.2337963875,0.3141951784,0.0160763129,0.002827659,0.0016879368,0.9998653446,1,0
12,7.0721896925,19.2769733778,0.292708717,0.0143557644,0.0034523687,0.000415791,0.9998909042,1,0
13,8.1142543913,19.3355894535,0.2724948801,0.0151633828,0.0054797905,0.0272184075,0.9994994757,1,0
14,7.1177105168,19.4941832464,0.2554247828,0.0046975037,-0.0126128333,0.9975439565,0.0687379421,1,0
15,6.044519765,19.5980441256,0.2896688113,0.0120826041,-0.0170371389,0.999447545,0.0258524918,1,0
16,5.0339977762,19.6196950863,0.3308022071,0.0160348738,-0.0151697466,0.9997021518,0.0104100584,1,0
17,3.9725452318,19.6301623702,0.3702812466,0.016701988,-0.0180883261,0.9996943453,0.0022521278,1,0
18,2.9072196647,19.5937989479,0.398055412,0.0182205697,-0.0145649571,0.9996987074,-0.0076398526,1,0
19,1.8633962443,19.5500592554,0.4146940151,0.0175832762,-0.0154149553,0.9996025981,-0.0157433586,1,0
20,0.8296103788,19.4754310748,0.4416390578,0.0184512722,-0.0174008276,0.9994698049,-0.0204174136,1,0
21,-0.2099657742,19.4243684683,0.4635228141,0.0170920541,-0.0181109374,0.9992204148,0.0306336123,1,0
22,-1.2572601163,19.4288394871,0.4747155747,0.0145093954,-0.0180950695,0.9995373496,0.0196756852,1,0
23,-2.3232398909,19.3455776228,0.4889171781,0.0161722433,-0.0174977107,0.998649892,-0.0461593088,1,0
24,-3.3874054738,19.2099263179,0.5138806969,0.0138946761,-0.0174721406,0.999138542,-0.0349833704,1,0
25,-4.4540903832,19.0839695594,0.5295827079,0.016801034,-0.0170268251,0.994312568,-0.1037801984,1,0
26,-5.4926050476,18.8560654545,0.5418212604,0.0103475627,-0.0166024771,0.9965514385,-0.0806381806,1,0
27,-4.4393214916,18.8082240371,0.5243164862,0.0146123326,0.0020993563,0.0496921184,0.998655479,1,0
28,-3.4219500706,18.9808201422,0.5184090818,0.0159420435,-0.0021865508,0.0871772914,0.9960628445,1,0
29,-2.4004665398,19.0490920981,0.5064292955,0.0120466985,0.0036940399,-0.036790454,0.9992435607,1,0
