,x,y,z,qx,qy,qz,qw,type,map
0,-9.2184694979,64.3061873184,0.6071115486,0.0094726877,-0.0081489069,-0.1934187576,0.981036739,1,1
1,-8.2799819349,63.9487453327,0.6262366766,0.0124974794,-0.0164637347,-0.1728358378,0.9847338265,1,1
2,-7.2934367255,63.6529081603,0.6453745762,0.0133387064,-0.0157349287,-0.146678885,0.9889689818,1,1
3,-6.2968355082,63.3899411533,0.6540495338,0.0137593113,-0.0122230695,-0.1313971596,0.9911589545,1,1
4,-5.2798782522,63.0620647515,0.6643707876,0.008675656,-0.0065019779,-0.1428531769,0.9896844484,1,1
5,-4.3261598195,62.7092895845,0.6645633285,0.007342069,-0.012188091,-0.1591132222,0.9871577508,1,1
6,-3.3929754547,62.2848724721,0.662002103,0.0129483299,-0.0091193883,-0.1524661783,0.9881818151,1,1
7,-2.4362390652,61.8933851915,0.6796816906,0.0106839192,-0.0218406191,-0.0842755201,0.9961458406,1,1
8,-1.4546669049,61.6637347473,0.6903690313,0.0041311038,-0.0064184739,-0.1517396905,0.9883910069,1,1
9,-0.4700334879,61.370401929,0.6786030341,0.009032001,-0.0028875637,-0.1708779284,0.9852465542,1,1
10,0.4430871349,60.8806020339,0.6661570402,2.07976691258e-06,0.0070320369,-0.2190697942,0.9756837953,1,1
11,1.3868082591,60.4200684959,0.6780009168,0.0024992442,-0.0230809462,-0.2422801854,0.9699285644,1,1
12,2.2534523237,59.8566086609,0.6847405936,0.0048053225,-0.0156876853,-0.2657534644,0.9639013995,1,1
13,3.1299066751,59.1852420824,0.6843421178,0.0095165584,-0.0072031728,-0.3042714216,0.9525105526,1,1
14,3.9207075562,58.5473628837,0.683005673,0.0082860308,-0.0069529997,-0.3721379104,0.9281143775,1,1
15,4.5969217805,57.7329337647,0.6873890557,0.0065621709,-0.0040286836,-0.4374826372,0.8991938488,1,1
16,5.0883557185,56.7941278123,0.6696478375,0.0047551162,-0.0016948957,-0.5553997672,0.8315681572,1,1
17,5.2507646636,55.7563600715,0.682399078,-0.0005632284,0.0042756717,-0.6592465503,0.7519145395,1,1
18,5.2351281291,54.753018365,0.6828515636,0.0002759286,0.0072784954,-0.7068200617,0.707355815,1,1
19,5.1571129143,53.7490752022,0.6804261641,-0.0054205219,0.0039522314,-0.7204514323,0.6934729283,1,1
20,5.0911097145,52.6596046998,0.6801552934,-0.0078219893,-0.0026875695,-0.7098505095,0.704303811,1,1
21,5.1004530748,51.5318566561,0.6614327201,0.0068528457,-0.0025418806,-0.7171852622,0.6968442672,1,1
22,5.0964519537,50.4980988638,0.6484148515,-0.013738651,-0.0051814861,-0.727428316,0.6860265609,1,1
23,5.0526190614,49.3742720573,0.6749378987,-0.0272225651,-0.0307659209,-0.733930981,0.6779807345,1,1
24,5.1543325246,48.2676323795,0.8047265036,-0.0389967147,-0.0362710539,-0.6939646385,0.7180367473,1,1
25,5.2631634414,47.2270298635,0.890241297,-0.0261638831,-0.019554621,-0.692527013,0.7206521041,1,1
26,5.3266690993,46.1876576269,0.9502466187,-0.0321413332,-0.0237133363,-0.7124272183,0.700608331,1,1
27,5.466819142,45.1804567723,1.0095791741,-0.0201284496,-0.0222428399,-0.7063558852,0.7072209775,1,1
28,5.6731040302,44.1608588523,1.0567927407,-0.0226123956,-0.0237247721,-0.6846934093,0.728093981,1,1
29,5.9455043788,43.1917577237,1.1209863345,-0.0240999168,-0.0322405734,-0.6785098072,0.7334876838,1,1
30,6.2159842675,42.1759723425,1.1950917372,-0.0237272013,-0.0304997491,-0.6715133946,0.7399842043,1,1
31,6.4996084772,41.1337783981,1.2622221605,-0.0066227146,-0.0192642789,-0.6659086346,0.7457552318,1,1
32,6.6898403354,40.142330536,1.2911004175,-0.0081396833,-0.0111545578,-0.6711163626,0.7412234509,1,1
33,6.7642774345,39.0721133908,1.3283399145,-0.017792649,-0.0184095926,-0.6887982847,0.72450082,1,1
34,6.7767284539,38.0576484257,1.3788795571,-0.0154304309,-0.0175824674,-0.7139688893,0.6997864547,1,1
35,6.666442965,37.0296330839,1.4217445802,-0.0191866315,-0.0167705509,-0.7320805089,0.6807414046,1,1
36,6.5945396566,36.0062423598,1.4617609807,-0.0200436737,-0.0223344295,-0.7418577906,0.6698854281,1,1
37,6.5172589528,34.9211940514,1.5217620787,-0.0142077233,-0.030134433,-0.7476893617,0.66321235,1,1
38,6.4091352285,33.9241058907,1.5899901839,-0.0078972699,-0.0332824563,-0.743214321,0.6681785072,1,1
39,6.3451918727,32.8934537473,1.6460388719,-0.0087830409,-0.0384269139,-0.7411273817,0.6702062944,1,1
40,6.193056837,31.8943065531,1.6991969887,-0.0065530615,-0.0370552506,-0.7928027672,0.6083154471,1,1
41,5.9052033671,30.9199123449,1.7547144108,0.0092645886,0.0229310335,0.8535089005,-0.5204909405,1,1
42,5.4336104707,29.9625810589,1.7587409056,-0.0170365,0.012427763,0.9018811595,-0.4314692733,1,1
43,4.7383124462,29.2156514792,1.7383940193,-0.0005954116,0.0136911119,0.957138032,-0.2893077601,1,1
44,3.7380497547,28.8236223218,1.7362406995,-0.0093317658,0.004223805,0.9885886222,-0.1502917276,1,1
45,2.7403547638,28.5969018029,1.7449463554,-0.0070206842,0.0067751405,0.9957155069,-0.0919538484,1,1
46,1.7132386923,28.4316157885,1.7119208195,-0.0159179916,0.0236105453,0.9959540225,-0.085233825,1,1
47,0.6532478943,28.2950931277,1.6904983541,0.0023386704,-0.0039808409,0.9990155045,-0.0441204001,1,1
48,-0.3806972916,28.2948241371,1.6989154929,0.0023384467,-0.0044699226,0.9999285547,0.0108438798,1,1
49,-1.4353396676,28.3929302758,1.6927206519,0.0019316794,-0.0035969578,0.9975855119,0.0693290142,1,1
50,-2.4871738329,28.6141094744,1.678611865,-0.0054516593,0.0033937314,0.9922555445,0.1240474958,1,1
51,-3.5094368931,28.8845232045,1.6665075192,0.0033325236,-0.002464194,0.9797583338,0.20014118,1,1
52,-4.4623819639,29.3254262594,1.6733673916,0.0025935017,-0.0030127488,0.96444693,0.2642466275,1,1
53,-5.3949688992,29.8060541347,1.6728637959,0.0042034732,-0.0030658585,0.94409272,0.3296390486,1,1
54,-6.3030708822,30.3836654247,1.6928990803,0.0063044863,-0.0026526993,0.9422557425,0.3348242792,1,1
55,-7.1572454542,30.9880878221,1.6932188941,0.0029659406,0.0002055024,0.9546544932,0.2977011215,1,1
56,-8.0427935263,31.495380631,1.706188681,0.0032804083,-0.0008215114,0.9618058519,0.2737115579,1,1
57,-8.9612695502,31.9735661049,1.7009823692,6.0625489535e-05,-0.0013005931,0.9490499721,0.3151228565,1,1
58,-9.8106726716,32.5790736806,1.7054317858,0.0013989087,-0.0033198911,0.9340469375,0.3571320252,1,1
59,-10.579419428,33.3054867648,1.7098106573,0.0025758191,0.0012572206,0.9346531972,0.3555490744,1,1
60,-11.3404758223,33.9915298689,1.713166142,0.0085463649,-0.0033960269,0.9449041322,0.3272178973,1,1
61,-12.1252244916,34.6446595068,1.7075740123,0.0044620894,-0.0029486175,0.9491175293,0.3148765933,1,1
62,-12.9071357378,35.3168872443,1.7034274323,0.0059881159,-0.0039275096,0.9269147351,0.3752037973,1,1
63,-13.6241648248,36.1088250983,1.6960067113,-2.76897829929e-05,0.0029765074,0.9088650202,0.4170798359,1,1
64,-14.2740546292,36.8911149209,1.7186670361,-0.0014375868,0.0039244988,0.9126258818,0.4087743967,1,1
65,-14.9856345913,37.7027064475,1.7255533889,0.0001747614,-0.0006196609,0.900072511,0.4357395116,1,1
66,-15.6373777501,38.6152611218,1.7320232087,0.0031642326,-0.0001122426,0.871509676,0.490368054,1,1
67,-16.165869304,39.4960681501,1.7273094859,-0.0052981497,-0.0081445986,0.885325367,0.4648706228,1,1
68,-16.7609499484,40.3173153586,1.7133099207,-0.0058516645,-0.0073504154,0.8835828364,0.4681807659,1,1
69,-17.4974931296,41.1912722945,1.6923215793,-0.0016290959,-0.0088554606,0.9045270121,0.4263212629,1,1
70,-18.2598253842,41.967807436,1.7092247696,0.0055986897,-0.0119252032,0.9328651828,0.3599847958,1,1
71,-18.9909988865,42.6668179205,1.7134307105,0.0019516317,-0.009933635,0.9278027428,0.372933585,1,1
72,-19.7313486142,43.5139980389,1.6963087143,-0.0047711521,-0.0135558547,0.9169378396,0.3987711076,1,1
73,-20.3816139594,44.2961915619,1.6733908657,-0.002193698,-0.0078014295,0.9163896877,0.4002052416,1,1
74,-21.0340180308,45.0633878285,1.6718054741,-0.0009789751,-0.0080420019,0.9403644128,0.3400722066,1,1
75,-21.7813069422,45.807600439,1.6787284972,0.0023276959,-0.0082203343,0.9374286274,0.3480726439,1,1
76,-22.4797762975,46.5535206136,1.681501459,0.000192163,-0.0099669045,0.9393961065,0.3426888056,1,1
77,-23.296629164,47.1878828009,1.6712505429,-0.0004205901,-0.0064155397,0.9623829009,0.2716207975,1,1
78,-24.1628168515,47.8470430706,1.662296515,-7.1076e-05,-0.0098719538,0.9550647214,0.2962327512,1,1
79,-25.0062424358,48.5449975317,1.6675025594,0.0051344815,-0.0111476577,0.9413223887,0.3372855424,1,1
80,-25.8307971843,49.2539817533,1.6635805517,-0.0009194368,-0.0087707053,0.9492260441,0.3144712665,1,1
81,-26.6680012762,49.8967892274,1.6528352404,-0.0030459675,-0.0070046067,0.9547619547,0.2972731344,1,1
82,-27.5238855666,50.5224845571,1.6612930554,0.0027851139,-0.0088832009,0.9542411319,0.2988932605,1,1
83,-28.3635440423,51.1290920045,1.6568551024,-0.0007190591,-0.0050536618,0.9525177922,0.3044401217,1,1
84,-29.2194490176,51.786208024,1.6683550868,0.0019466807,-0.0082024052,0.9467962281,0.3217233745,1,1
85,-29.9747817732,52.4483267384,1.672594757,0.0022620188,-0.007323427,0.9425521304,0.3339711466,1,1
86,-30.7696796296,53.1408009396,1.6656489427,-0.000765432,-0.0024762259,0.9425892868,0.3339441542,1,1
87,-31.5990738071,53.8159020651,1.661156446,0.001962319,-0.0031305963,0.9439721293,0.3300045495,1,1
88,-32.3414824668,54.5198712958,1.6433790964,-0.0007319595,-0.0063027152,0.9432099599,0.3321365541,1,1
89,-33.1080414726,55.2994621183,1.6398181096,0.0031763908,-0.0065892598,0.9407261524,0.339088144,1,1
90,-33.8765085425,55.9798268386,1.6318821947,-0.0020098054,-0.0095643798,0.9377915763,0.347061017,1,1
91,-34.6549548381,56.7408908179,1.6151157341,-0.0015505904,-0.0062997155,0.9370226231,0.3492084016,1,1
92,-35.4040833804,57.4485720104,1.6073158862,-0.0031942735,-0.0039441427,0.9410976838,0.3380966965,1,1
93,-36.2436187383,58.194833285,1.6074485701,0.002808906,-0.0042349712,0.9483144453,0.3172914548,1,1
94,-37.1188204598,58.8189340115,1.6084200975,0.0019779408,-0.0040407189,0.9552105713,0.2958930237,1,1
95,-38.0594761896,59.3962724632,1.5933491372,0.0013609044,-0.003696981,0.9612974736,0.2754842918,1,1
96,-38.9896023145,60.0039610499,1.5789937492,-0.0022309125,-0.0035229892,0.9616539204,0.2742340768,1,1
97,-39.9294965805,60.6373863584,1.5798893526,-3.68709365614e-06,-0.002205474,0.9582081786,0.2860632973,1,1
98,-40.7747593289,61.3095199145,1.5716996696,-0.0095673966,-0.0031040558,0.9525357876,0.3042604391,1,1
