,x,y,z,qx,qy,qz,qw,type,map
0,0.617739569794,-0.851649555367,0.0,0.0,0.0,-0.502809458709,0.864397274541,1.0,1.0
1,1.13983948904,-1.74960762653,0.0,0.0,0.0,-0.501621095857,0.865087438466,1.0,1.0
2,1.6326153006,-2.62677301641,0.0,0.0,0.0,-0.499614491886,0.866247862622,1.0,1.0
3,2.44138122849,-3.22589487419,0.0,0.0,0.0,-0.111516322872,0.993762602302,1.0,1.0
4,3.44345996519,-3.26513495265,0.0,0.0,0.0,0.129360577616,0.991597620489,1.0,1.0
5,4.33618534749,-2.70168448881,0.0,0.0,0.0,0.329393608049,0.944192698011,1.0,1.0
6,5.10861274455,-2.05286193199,0.0,0.0,0.0,0.373187161772,0.92775607909,1.0,1.0
7,5.74585503868,-1.21622261604,0.0,0.0,0.0,0.512682191589,0.858578459098,1.0,1.0
8,6.18007243688,-0.234851696673,0.0,0.0,0.0,0.571220139168,0.82079690095,1.0,1.0
9,6.37998342546,0.753811771952,0.0,0.0,0.0,0.723863246342,0.689943476377,1.0,1.0
10,6.10187807757,1.79103915524,0.0,0.0,0.0,0.809238700499,0.587479978905,1.0,1.0
11,5.7749739157,2.74172670627,0.0,0.0,0.0,0.821807087298,0.569765838979,1.0,1.0
12,5.19853214681,3.62716544304,0.0,0.0,0.0,0.927519152572,0.373775630041,1.0,1.0
13,4.26727711665,4.16172956532,0.0,0.0,0.0,0.989874288125,0.14194679887,1.0,1.0
14,3.20892776163,4.16783972734,0.0,0.0,0.0,0.99448610067,-0.104868467971,1.0,1.0
15,2.16024814804,3.93635846535,0.0,0.0,0.0,0.995608949283,-0.0936099359488,1.0,1.0
16,1.12900966397,3.69805537205,0.0,0.0,0.0,0.98839105056,-0.151931337035,1.0,1.0
17,0.196996451188,3.31616187863,0.0,0.0,0.0,0.980569106024,-0.196173974603,1.0,1.0
18,-0.806190436817,2.91789821225,0.0,0.0,0.0,0.981515664543,-0.191381817991,1.0,1.0
19,-1.76713083355,2.51716750387,0.0,0.0,0.0,0.980916249355,-0.194430737672,1.0,1.0
20,-2.75248730115,2.10991385302,0.0,0.0,0.0,0.980189764159,-0.198060663023,1.0,1.0
21,-3.74504473291,1.69314770652,0.0,0.0,0.0,0.979430165299,-0.201783426727,1.0,1.0
22,-4.59981349991,1.15325873608,0.0,0.0,0.0,0.915413279763,-0.402515250933,1.0,1.0
23,-4.90929325114,0.177746908414,0.0,0.0,0.0,0.601994885274,-0.798499942457,1.0,1.0
24,-4.20433848119,-0.562692380064,0.0,0.0,0.0,0.264095746497,-0.964496467947,1.0,1.0
25,-3.27736171829,-1.05947255967,0.0,0.0,0.0,0.236954302119,-0.971520796848,1.0,1.0
26,-2.25997812553,-1.45628568342,0.0,0.0,0.0,0.139615898779,-0.990205736606,1.0,1.0
27,-1.2269391067,-1.75572221196,0.0,0.0,0.0,0.141179187906,-0.989984058913,1.0,1.0
28,-0.256243263327,-2.04879939674,0.0,0.0,0.0,0.142971146895,-0.989726856843,1.0,1.0
29,0.781640742573,-2.35284465093,0.0,0.0,0.0,0.144705589547,-0.989474755794,1.0,1.0
30,1.80925471086,-2.65893017115,0.0,0.0,0.0,0.162081545827,-0.986777367243,1.0,1.0
31,2.77964557102,-3.10612601417,0.0,0.0,0.0,0.269310071648,-0.963053521518,1.0,1.0
32,3.63529414636,-3.72385639846,0.0,0.0,0.0,0.345853585176,-0.938288493812,1.0,1.0
33,4.33780852516,-4.44225444722,0.0,0.0,0.0,0.418495409187,-0.908218912206,1.0,1.0
34,4.93029289032,-5.29872153665,0.0,0.0,0.0,0.519597687251,-0.85441105061,1.0,1.0
35,5.27762537842,-6.27810211043,0.0,0.0,0.0,0.662513946703,-0.749049578081,1.0,1.0
36,5.09479661842,-7.30920543041,0.0,0.0,0.0,0.863710769538,-0.503987804003,1.0,1.0
