,x,y,z,qx,qy,qz,qw,type,map
0,0.47721815735,0.0856506305988,-0.883636162948,0.00514925911126,-0.00371035132657,-0.00426116436467,0.999970786406,1.0,1.0
1,1.54145539539,0.0795642507184,-0.88663971683,0.00536359776061,-0.00159141369409,-0.00478549470033,0.999972896828,1.0,1.0
2,2.60412138634,0.0682288790868,-0.881908170819,0.00616393379128,-0.00132580081184,-0.00340758172155,0.99997434156,1.0,1.0
3,3.67099094445,0.0401586076539,-0.878821476406,0.00569987323721,-0.00161801824914,-0.00623854398409,0.99996298274,1.0,1.0
4,4.73635634511,-0.0145349725726,-0.865396444582,0.00588443538946,-0.00286663381696,-0.0107494150695,0.999920835954,1.0,1.0
5,5.80747207174,0.00907565717609,-0.860413731386,0.00622583558607,-0.00242980090049,-0.00618110139636,0.999958547378,1.0,1.0
6,6.87673179332,0.0366499934456,-0.862405892219,0.00552575002405,-0.00188767253952,-0.00360758618019,0.999976454824,1.0,1.0
7,7.94746102467,0.0559796658707,-0.870272327477,0.00484040203729,-0.00134721979248,-0.00150354760195,0.999986176741,1.0,1.0
8,9.0225759788,0.0807286538613,-0.854973766704,0.00426037064461,-0.00196544932914,0.000505784746098,0.999988843794,1.0,1.0
9,10.0902315273,0.124800770922,-0.859688549485,0.00488896038022,-0.00157664922778,0.00261918995732,0.999983421739,1.0,1.0
10,11.0999528701,0.169230320028,-0.851038985481,0.00506419933698,-0.00244164976164,0.160666390339,0.986992736216,1.0,1.0
11,12.0896732039,0.43236266581,-0.86274095734,0.0052975643476,-0.00154534530925,0.112372441173,0.993650825507,1.0,1.0
12,13.1286095607,0.629011516795,-0.83700328051,0.00424660713146,-0.00221838482912,0.102276781589,0.994744469684,1.0,1.0
13,14.1520454463,0.851103463592,-0.840675417329,0.00388643297056,-0.00180553836797,0.102927570281,0.994679581071,1.0,1.0
14,15.1199157987,1.24075755709,-0.817294773564,0.00371977308722,-0.00238995952052,0.109515331958,0.993975332359,1.0,1.0
15,16.082960211,1.52497643473,-0.838894226147,0.00360005845474,-0.00153545118555,0.111678377239,0.993736716465,1.0,1.0
16,17.1190544624,1.82022828321,-0.813127493717,0.00395107335066,-0.00205059457397,0.113526360841,0.993525024113,1.0,1.0
17,18.0677480682,2.14932084837,-0.779818633825,0.00545857995517,-0.00276853087498,0.116733876776,0.993144369237,1.0,1.0
18,19.1195077677,2.29826793342,-0.801750997724,0.00460559741619,-0.00199135230942,0.114203490914,0.993444713473,1.0,1.0
19,20.0609597499,2.7809951524,-0.795928308058,0.00448016876775,-0.00190434922368,0.12040717577,0.99271265553,1.0,1.0
