,x,y,z,qx,qy,qz,qw,type,map
0,0.191859503,85.0751187037,2.1564339208,0.0130938216,-0.0073557996,0.0019153798,0.9998853713,1,0
1,1.2860576214,85.0187699641,2.2099302767,0.0124684441,-0.0040216259,-0.1513803408,0.9883887836,1,0
2,2.0267688037,84.3033986935,2.2089006097,0.0016775263,0.0072564503,-0.5156092651,0.8567914166,1,0
3,2.3201424782,83.3036248062,2.1689032451,0.0015187768,0.0076857914,-0.6388172002,0.7693186044,2,0
4,2.4837235219,82.2175711044,2.1157895088,0.0003569394,0.009609003,-0.6497034393,0.7601269669,1,0
5,2.6711635499,81.0898159448,2.0701584289,0.0032725309,0.0080758724,-0.6535939356,0.7567952722,1,0
6,2.771975608,80.0165112448,2.0280378793,0.0040110939,0.0111776274,-0.7304778199,0.6828332106,4,0
7,2.3503369618,79.0125064365,1.9662204632,0.0043817981,-0.0222493194,0.9477486523,-0.3182110671,1,0
8,1.2494179399,79.0551529776,1.9179548858,0.005061449,-0.0303513058,0.9349131216,0.3535401729,1,0
9,1.0112887538,80.1425530679,1.9744255462,0.0074928116,-0.0217703987,0.6495933541,0.7599330976,1,0
10,1.3333783354,81.2275785029,2.0472960828,0.005252324,-0.0169433529,0.5600043559,0.8282998023,1,0
11,1.8276494562,82.1873212133,2.1244288509,0.0051477484,-0.0184097979,0.4782624084,0.8780089572,1,0
12,2.4986169687,83.0250702127,2.1913995562,0.0038317119,-0.0215370416,0.4302650726,0.9024375231,1,0
13,3.177525278,83.9323803443,2.2501316724,0.0037692692,-0.0215405003,0.5018520631,0.8646769406,1,0
14,3.8163597116,84.8679360079,2.2824865283,0.0049851697,-0.0149541118,0.3966939298,0.9178156331,1,0
15,4.6176693784,85.660147535,2.3053723587,-0.0177099012,-0.0388324233,0.3671188414,0.9291943727,1,0
16,5.3947959456,86.4247322103,2.3581124175,-0.0067881868,-0.0375640794,0.4531858901,0.8905982878,1,0
17,5.7606058333,87.4380909644,2.400558859,-0.0002631694,-0.0249398584,0.711952166,0.7017848446,1,0
18,5.378082419,88.4661295362,2.4133599117,-0.0086499216,-0.0213300656,0.9089614145,0.4162444332,1,0
19,4.4803640542,88.9897787885,2.3707208572,-0.0251607608,-0.0182747485,0.9924453186,0.1186816648,1,0
20,3.4330260105,88.8000473561,2.2707559137,0.0102900699,-0.0109906022,0.9674613093,-0.2525706971,1,0
21,2.7169291195,88.0213664287,2.1923673359,-0.0076726933,0.0040725454,-0.8841619869,0.4670997054,1,0
22,2.0081465369,87.1864571107,2.1256889139,0.0107295505,-0.0019195543,0.9324964277,-0.3610144424,1,0
23,1.2176677679,86.3778682169,2.06403966,-0.0063535064,0.0001201513,-0.9025011857,0.4306404618,1,0
24,0.6717977855,85.5041095368,2.0536975513,-0.0051248166,-0.004510184,-0.8321150363,0.554561053,1,0
